"Nombre","Publicado","¿Está destacado?","Visibilidad en el catálogo","Descripción corta","Descripción","Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?","Inventario","Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal","Categorías"
"Tabique Floricel® 24 pzas.",1,1,"visible","Tabique Estándar . Dimensiones: 9"" (22.8 cm) largo x 4"" (10 cm) ancho x 3"" (7.5 cm.) alto . Caja con 24 piezas. ","Tabique de espuma floral para todo tipo de tallo . Calidad superior en cada pieza . Diseñado especialmente para todos los artistas florales .",,,"taxable",,1,,,0,0,,10,22.8,7.5,1,,,169,"Espuma Floral | Tabique | Caja de Espuma"
"Tabique Floricel® 48 pzas.",1,1,"visible","Tabique Estándar . Dimensiones: 9"" (22.8 cm) largo x 4"" (10 cm) ancho x 3"" (7.5 cm.) alto . Caja con 24 piezas.","Tabique de espuma floral para todo tipo de tallo . Calidad superior en cada pieza . Diseñado especialmente para todos los artistas florales .",,,"taxable",,1,,,0,0,,10,22.8,7.5,1,,,326,"Espuma Floral | Tabique | Caja de Espuma"
"Esfera 3 pulgadas 24 pzas.",1,0,"visible","Dimensiones: 3"" (7.5 cm diámetro) . Caja con 12 piezas.","Espuma Floral de Calidad Superior . Pieza obtenida de la espuma floral Floricel . Soporta flores de todos tipo de tallos . Cubierto por una malla protectora que brinda soporte a todas tus creaciones artísitcas .",,,"taxable",,1,,,0,0,,,,,1,,,237,"Accesorios | Esferas | Espuma Floral | Figuras de Espuma"
"Esfera 4.5 pulgadas 12 pzas.",1,0,"visible","Dimensiones: 4.5"" (11.5 cm diámetro) . Caja con 12 piezas.","Espuma Floral de Calidad Superior . Pieza obtenida de la espuma floral Floricel . Soporta flores de todos tipo de tallos . Cubierto por una malla protectora que brinda soporte a todas tus creaciones artísitcas .",,,"taxable",,1,,,0,0,,,,,1,,,284,"Accesorios | Esferas | Espuma Floral | Figuras de Espuma"
"Esfera 6 pulgadas 12 pzas.",1,1,"visible","Dimensiones: 6"" (15.2 cm diámetro) . Caja con 12 piezas.","Espuma Floral de Calidad Superior . Pieza obtenida de la espuma floral Floricel . Soporta flores de todos tipo de tallos . Cubierto por una malla protectora que brinda soporte a todas tus creaciones artísitcas .",,,"taxable",,1,,,0,0,,,,,1,,,431,"Accesorios | Esferas | Espuma Floral | Figuras de Espuma"
"Esfera 8 pulgadas 6 pzas.",1,1,"visible","Dimensiones: 8"" (20.3 cm diámetro) . Caja con 6 piezas.","Espuma Floral de Calidad Superior . Pieza obtenida de la espuma floral Floricel . Soporta flores de todos tipo de tallos . Cubierto por una malla protectora que brinda soporte a todas tus creaciones artísitcas .",,,"taxable",,1,,,0,0,,,,,1,,,360,"Accesorios | Esferas | Espuma Floral | Figuras de Espuma"
"Jardinera Floricel® 18 pzas.",1,1,"visible","Dimensiones: 24"" (60 cm) largo x 9"" (22.8 cm) ancho x 3 (7.5 cm) alto . Caja con 18 piezas.","Espuma Floral de Calidad Superior . Pieza obtenida de la espuma floral Floricel . Soporta flores de todos tipo de tallos . Adaptable a diseños en bases tipo jardinera y/o cóncavas . Ideal para grandes obras artísticas .",,,"taxable",,1,,,0,0,,60,10,7.5,1,,,479,"Accesorios | Jardinera | Espuma Floral | Figuras de Espuma"
"Súper Block Floricel® 6 pzas.",1,1,"visible","Dimensiones: 12"" (30 cm) largo x 8"" (20 cm) ancho x 9"" (22.8 cm) alto . Caja con 6 piezas.","Espuma Floral de Calidad Superior . Pieza elaborada con espuma floral Floricel . Soporta flores de todos tipo de tallos . Adaptable a cualquier obra artística floral. Listo para usarse.",,,"taxable",,1,,,0,0,,30,20,22.8,1,,,315,"Accesorios | Block | Espuma Floral | Figuras de Espuma"
"Placa Chica 18 pzas.",1,1,"visible","Dimensiones: 12"" (30 cm) largo x 12"" (30 cm) ancho x 2"" (5 cm) alto . Caja con 18 piezas.","Espuma Floral de Calidad Superior . Pieza precortada en forma cuadrada . Pieza elaborada con espuma floral Floricel . Soporta flores de todos tipo de tallos . Adaptable a cualquier obra artística floral. Listo para usarse. Espuma Floral de fácil manejo.",,,"taxable",,1,,,0,0,,30,30,5,1,,,315,"Accesorios | Placas | Espuma Floral | Figuras de Espuma"
"Placa Mediana 9 pzas.",1,1,"visible","Dimensiones: 24"" (60 cm) largo x 12"" (30 cm) ancho x 2"" (5 cm) alto . Caja con 9 piezas.","Espuma Floral de Calidad Superior . Pieza precortada en forma cuadrada . Pieza elaborada con espuma floral Floricel . Soporta flores de todos tipo de tallos . Adaptable a cualquier obra artística floral. Listo para usarse. Espuma Floral de fácil manejo.",,,"taxable",,1,,,0,0,,60,30,5,1,,,298,"Accesorios | Placas | Espuma Floral | Figuras de Espuma"
