ID,Tipo,SKU,Nombre,Categorías
1936,simple,1,Tabique Floricel® 24 pzas.,Caja de Espuma | Espuma Floral | Tabique 
1937,simple,2,Tabique Floricel® 48 pzas.,Caja de Espuma | Espuma Floral | Tabique 
1938,simple,3,Esfera 3 pulgadas 24 pzas.,Accesorios | Esferas 
1939,simple,4,Esfera 4.5 pulgadas 12 pzas.,Accesorios | Esferas 
1940,simple,5,Esfera 6 pulgadas 12 pzas.,Accesorios | Esferas 
1941,simple,6,Esfera 8 pulgadas 6 pzas.,Accesorios | Esferas 
1942,simple,7,Jardinera Floricel® 18 pzas.,Accesorios | Jardinera 
1943,simple,8,Súper Block Floricel® 6 pzas.,Accesorios | Block 
1944,simple,9,Placa Chica 18 pzas.,Accesorios | Placas 
1945,simple,10,Placa Mediana 9 pzas.,Accesorios | Placas 
1946,simple,11,Placa Grande 6 pzas.,Accesorios | Placas 
1947,simple,12,Figura Floricel® Perro 4 pzas.,Accesorios | Figuras de Espuma
1948,simple,13,Figura Floricel® Estrella 4 pzas.,Accesorios | Figuras de Espuma
1949,simple,14,Figura Floricel® Corazón 4 pzas.,Accesorios | Figuras de Espuma
1950,simple,15,Figura Floricel® Mariposa 4 pzas.,Accesorios | Figuras de Espuma
1951,simple,16,Figura Floricel® Oso 4 pzas.,Accesorios | Figuras de Espuma
1952,simple,17,Figura Floricel® Perro 20 pzas.,Accesorios | Figuras de Espuma
1953,simple,18,Figura Floricel® Estrella 20 pzas.,Accesorios | Figuras de Espuma
1954,simple,19,Figura Floricel® Corazón 20 pzas.,Accesorios | Figuras de Espuma
1955,simple,20,Figura Floricel® Mariposa 20 pzas.,Accesorios | Figuras de Espuma
1956,simple,21,Figura Floricel® Oso 20 pzas.,Accesorios | Figuras de Espuma
1957,simple,22,Ventosa Floricel® 12 pzas.,Accesorios | Ventosas 
1958,simple,23,Portarramos Cilíndrico Mango Recto 12 pzas.,Accesorios | Portarramos 
1959,simple,24,Portarramos Cilíndrico Mango Inclinado 12 pzas.,Accesorios | Portarramos 
1960,simple,25,Portarramos Esférico Mango Recto 12 pzas.,Accesorios | Portarramos 
1961,simple,26,Portarramos Esférico Mango Inclinado 12 pzas.,Accesorios | Portarramos 
1962,simple,27,Base Portarramos Floricel®,Accesorios | Base Portarramos 
1963,simple,28,Base Portarramos Floricel®,Accesorios | Base Portarramos 
1964,simple,29,Tabique Floricel Color® Fucsia 12 pzas.,Espuma Floral Color | Tabique color 
1965,simple,30,Tabique Floricel Color® Amarillo12 pzas.,Espuma Floral Color | Tabique color 
1966,simple,31,Tabique Floricel Color® Naranja12 pzas.,Espuma Floral Color | Tabique color 
1967,simple,32,Tabique Floricel Color® Rojo12 pzas.,Espuma Floral Color | Tabique color 
1968,simple,33,Figura Floricel Color® Corazón Rojo 4 pzas.,Accesorios Color | Figura Color  
1969,simple,34,Figura Floricel Color® Corazón Rojo 20 pzas.,Accesorios Color | Figura Color  
1970,simple,35,Base Crystal + Espuma de Floricel Color® 8 pzas.,Base Click | Base Floral 
1971,simple,36,Base Crystal 32 pzas.,Base Click | Base Floral 
1972,simple,37,Base Maceta + Espuma Floricel® 24 pzas.,Base Click | Base Floral 
1973,simple,38,Base Maceta 120 pzas.,Base Click | Base Floral 
1974,simple,39,Base Oriental + Espuma Floricel® 36 pzas.,Base Click | Base Floral 
1975,simple,40,Base Oriental 120 pzas.,Base Click | Base Floral 
1976,simple,41,Base Salsera + Espuma Floricel® 36 pzas.,Base Click | Base Floral 
1977,simple,42,Base Salsera 120 pzas.,Base Click | Base Floral 
1978,simple,43,Clip Sujetador Base Click,Base Click | Base Floral 
1979,simple,44,Deco Spray Color Sólido-Fuchsia 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1980,simple,45,Deco Spray Color Sólido-Tangerine 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1981,simple,46,Deco Spray Color Sólido-Carnation Red 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1982,simple,47,Deco Spray Color Sólido-Erica 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1983,simple,48,Deco Spray Color Sólido-Burgundy 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1984,simple,49,Deco Spray Color Sólido-Purple 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1985,simple,50,Deco Spray Color Sólido-Chrome Yellow 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1986,simple,51,Deco Spray Color Sólido-Orange Peel 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1987,simple,52,Deco Spray Color Sólido-Lemon Lime 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1988,simple,53,Deco Spray Color Sólido-Green Olive 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1989,simple,54,Deco Spray Color Sólido-Signal Green 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1990,simple,55,Deco Spray Color Sólido-Dark Brown 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1991,simple,56,Deco Spray Color Sólido-Teal Blue 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1992,simple,57,Deco Spray Color Sólido-Soft Blue 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1993,simple,58,Deco Spray Color Sólido-Deep Blue 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1994,simple,59,Deco Spray Color Sólido-Royal Blue 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1995,simple,60,Deco Spray Color Sólido-Soft White 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1996,simple,61,Deco Spray Color Sólido-Soft Black 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1997,simple,62,Deco Spray Color Sólido-Holiday Green 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1998,simple,63,Deco Spray Color Sólido-Holiday Red 400 ml.,Deco Spray | Pintura en Aerosol | Colores Sólidos 
1999,simple,64,Deco Spray Color Metálico-Brite Gold 400 ml.,Deco Spray | Pintura en Aerosol | Color Metálico
2000,simple,65,Deco Spray Color Metálico-Coppertone 400 ml.,Deco Spray | Pintura en Aerosol | Color Metálico
2001,simple,66,Deco Spray Color Metálico-Antique Gold 400 ml.,Deco Spray | Pintura en Aerosol | Color Metálico
2002,simple,67,Deco Spray Color Fluoresente-Flour Yellow 400 ml.,Deco Spray | Pintura en Aerosol | Color Fluorescente
2003,simple,68,Deco Spray Color Fluoresente-Flour Green 400 ml.,Deco Spray | Pintura en Aerosol | Color Fluorescente
2004,simple,69,Deco Spray Color Fluoresente-Flour Blue 400 ml.,Deco Spray | Pintura en Aerosol | Color Fluorescente
2005,simple,70,Deco Spray Color Fluoresente-Flour Orange 400 ml.,Deco Spray | Pintura en Aerosol | Color Fluorescente
2006,simple,71,Deco Spray Color Fluoresente-Flour Rose 400 ml.,Deco Spray | Pintura en Aerosol | Color Fluorescente
2007,simple,72,Deco Spray Color Metálico Clásico-Silver 300 ml.,Deco Spray | Pintura en Aerosol | Color Metálico Clásico 
2008,simple,73,Deco Spray Color Metálico Clásico-Gold 300 ml.,Deco Spray | Pintura en Aerosol | Color Metálico Clásico 
2009,simple,74,Spray Aroma Flower Shop Fragrance 400 ml.,Fragancia Floral  
2010,simple,75,Glitter Diamantina en Aerosol-Red 300 ml.,Glitter | Diamantina
2011,simple,76,Glitter Diamantina en Aerosol-Gold 300 ml.,Glitter | Diamantina
2012,simple,77,Glitter Diamantina en Aerosol-Silver 300 ml.,Glitter | Diamantina
2013,simple,78,Glitter Diamantina en Aerosol-Multicolor 300 ml.,Glitter | Diamantina
2014,simple,79,Spring Leafshine Abrillantador de hojas 750 ml.,Productos Chrysal | Post-Cosecha 
2015,simple,80,Clear Professional #2 Líquido 1 galón,Productos Chrysal | Post-Cosecha 
2016,simple,81,Chrysal Leafshine Abrillantador de hojas 750 ml.,Productos Chrysal | Post-Cosecha 
2017,simple,82,Leafshine Concentrado 1L.,Productos Chrysal | Post-Cosecha 
2018,simple,83,Clear Professional #2 T-bag 50 sobres,Productos Chrysal | Post-Cosecha 
2019,simple,84,Clear Universal Sachet 5 g. Flower Food,Productos Chrysal | Post-Cosecha 
2020,simple,85,Clear Professional #3 Líquido 1 Galón,Productos Chrysal | Post-Cosecha 
2021,simple,86,Solución Inicial (polvo) 6 kg.,Productos Chrysal | Post-Cosecha 
